CÃ³digo,CNPJ
ARXD11,44527494000132
CCME11,43010844000126
ITIT11,36293425000183
JASC11,40886241000102
LAVF11,37467733000140
AFHI11,36642293000158
ALZM11,34847063000108
MTOF11,22862226000134
ALZR11,28737771000185
AURB11,41076823000188
AROA11,
ASMT11,38293921000162
ASRF11,
AIEC11,35765826000126
BCRI11,22219335000138
BNFS11,15570431000160
BZEL11,35507610000160
BPLC11,
BBFI11,07000400000146
BBFO11,37180091000102
TVRI11,14410722000129
BBIM11,20716161000193
BBRC11,12681340000104
VVCR11,23120027000113
RNDP11,15394563000189
BLCA11,41076748000155
BLMC11,38294221000192
BLMG11,34081637000171
BLMO11,34895894000147
BLMR11,36368869000130
BRSE11,
BCIA11,20216935000117
BREV11,26195121000120
BZLI11,14074706000102
CARE11,13584584000131
BRCO11,20748515000181
BICE11,39332032000120
BIME11,41081356000184
BRIM11,23964843000103
BRIP11,34895752000180
BIPD11,
BRIX11,
BROF11,48978859000104
LLAO11,
BTLG11,11839593000109
BTWR11,20132453000189
BTSG11,36098375000183
BTSI11,36930464000144
CRFF11,31887401000139
CXRI11,17098794000170
CPFO11,
CPFF11,34081611000123
CPTS11,18979895000113
CACR11,32065364000146
CBOP11,17144039000185
CFHI11,34508923000170
CFII11,
CJCT11,10347985000180
CIXR11,
COPP11,
CSMC11,
HGFF11,32784898000122
HGLG11,11728688000147
HGPO11,11260134000168
HGRE11,09072017000129
HGCR11,11160521000122
HGRU11,29641226000153
HGRS11,41922239000104
CVPR11,38294329000185
CYCR11,36501233000115
CYLD11,
DLMT11,28108193000118
DPRO11,42922127000108
DEVA11,37087810000137
DAMT11,26642727000166
DOVL11,
EGYR11,36969658000153
EQIR11,41076380000125
ERCR11,37266902000184
ERPA11,31469385000164
KEVE11,32317313000164
KINP11,24070076000151
EXES11,41076851000103
FLCR11,33884145000151
FAGL11,
FARU11, 
VRTA11,11664201000100
BMII11,02027437000144
LRDI11,41088534000107
MCHY11,36655973000106
MMPD11,41080968000152
IBCR11,40011251000196
MGCR11,35652204000191
GAME11,41269052000145
ANCR11,
FAED11,11179118000145
BMLC11,14376247000111
BPRP11,29800650000101
BRCR11,08924783000101
BCFF11,11026627000138
FCFL11,11602654000101
CNES11,13551286000145
CEOC11,15799397000109
FAMB11,
EDGA11,15333306000137
ELDO11,
HCRI11,04066582000160
NSLU11,08014513000163
HTMX11,08706065000169
MAXR11,11274415000170
NCHB11,18085673000157
NVHO11,17025970000144
PQDP11,10869155000112
PATB11,14788492000136
RBRM11,26314437000193
RBRR11,29467977000103
RECR11,28152272000126
RECT11,32274163000159
JRDM11,14879856000193
SHDP11,07224019000160
SAIC11,
ALMI11,07122725000100
TRNT11,04722883000102
VLOL11,15296696000112
OUFF11,30791386000168
WTSP11,
LVBI11,30629603000118
BARI11,29267567000100
BRHT11,
BPFF11,17324357000128
BVAR11,21126204000143
BPML11,33046142000149
BTRA11,41076607000132
CXCI11,42066916000194
CXCE11,10991914000115
CXTL11,12887506000143
CTXT11,00762723000128
CJFI11,23582914000103
FLMA11,04141645000103
EDFO11,
EURO11,05437916000127
GESE11,
ABCP11,01201140000190
GTWR11,23740527000158
HBTT11,
HUCG11,39.347.413/0001-82 
HUSC11,28851767000143
FIIB11,14217108000145
FINF11,18369510000104
FMOF11,01633741000172
MGFF11,29216463000177
MVFI11,23537203000117
OULG11,13974819000100
PABY11,00613094000174
FPNG11,17161979000182
ESTQ11,18497672000110
VPSI11,14721889000100
FPAB11,03251720000118
RBRY11,30166700000111
RBRP11,21408063000151
RCRB11,03683056000186
RBED11,13873457000152
RBVA11,15576907000170
RNGO11,15006286000190
SFND11,09350920000104
FISC11,12804013000100
SCPF11,01657856000105
SDIL11,16671412000193
SHPH11,03507519000159
TGAR11,25032881000153
ONEF11,12948291000123
VERE11,08693497000182
FVPQ11,00332266000131
FIVN11,17854016000164
VTLT11,27368600000163
VSEC11,10347505000180
VSHO11,23740595000117
IDFI11,32774914000104
PLCR11,32527683000126
VTPL11,15098422000119
RELG11,37112770000136
CVBI11,28729197000113
MCCI11,23648935000184
FGPM11,23781227000117
ATWN11,27773327000152
ARRI11,32006821000121
BTAL11,36642244000115
CXCO11,38658984000175
HOSI11,34081631000102
MGHT11,34197776000165
RECX11,36642356000176
PVBI11,35652102000176
DVFF11,39863059000149
RFOF11,34027774000128
VTPA11,21500481000174
VTXI11,23740552000131
HBRH11,30871698000181
BTCI11,09552812000114
CCLB11,
IRDM11,28830325000110
SBCL11,34471719000122
FRHY11,
SPVJ11,27538422000171
KFOF11,30091444000140
OURE11,28516650000103
SNEL11,43741171000184
BLUR11,38051307000194
LKDV11,40102445000105
RBRI11,32441656000136
SPXS11,43010543000100
GVBI11,
APXM11,43010485000107
FATN11,30567216000102
BRLA11,35652278000128
CXAG11,40189596000134
HBCR11,36501159000137
MINT11,19872887000136
RZTR11,36501128000186
ROOF11,38456598000109
TCIN11,34197700000130
GCFF11,35652154000142
GCRI11,38293897000161
GCOI11,
GZIT11,15447108000102
GSFI11,11769604000113
FIGS11,17590518000125
GURB11,
GGRC11,26614291000100
RCFA11,27771586000144
GTLG11,36200677000110
GALG11,37295919000160
HABT11,30578417000105
ATCR11,14631148000139
HCTR11,30248180000196
HCST11,31152015000107
HCHG11,34508959000154
HAAA11,27445482000140
ATSA11,12809972000100
HGBS11,08431747000106
HDEL11,44.514.162/0001-13
FLRP11,10375382000191
HLOG11,27486542000172
HOFC11,31894369000119
HDOF11,35688460000139
HRDF11,16929519000199
HREC11,35507262000121
SEED11,35689497000181
HPDP11,35586415000173
HFOF11,18307582000119
HGIC11,38456508000171
HILG11,
HSAF11,35360687000150
HSLG11,32903621000171
HSML11,32892018000131
HSRE11,08098114000128
HUSI11,30017492000199
ITIP11,36312772000106
BICR11,34007109000172
IRIM11,41076564000195
JCDB11,
JCDA11,
JBFO11,36615915000159
VJFD11,15489509000117
JFLL11,36501181000187
JPPC11,17216625000198
JPPA11,30982880000100
JSAF11,42085661000107
JSRE11,13371132000171
JTPR11,23876086000116
KISU11,36669660000107
KIVO11,42273325000198
KCRE11,42502802000140
KNHF11,42754342000147
KNHY11,30130708000128
KNRE11,14423780000197
KNIP11,24960430000113
KNPR11,
KNRI11,12005956000165
KNCR11,16706958000132
KNSC11,35864448000138
KNUQ11,42754362000118 
LPLP11,37262752000130
LATR11,
LASC11,30248158000146
LSPA11,31847293000170
LIFE11,39753295000102
LOFT11,
LFTT11,24796967000190
LGCP11,34598181000111
LUGG11,34835191000123
MALL11,26499833000132
MANA11,42888583000189
MMVE11,41251337000159
MCHF11,36642139000186
MXRF11,97521225000125
MFII11,16915968000188
MFAI11,32397369000176
MFCR11,45403337000188
MGRI11,
MATV11,41076678000135
MORE11,34197727000122
MORC11,40102474000169
SHOP11,22459737000100
DRIT11,10456810000100
MOFF11,31508219000120
NCRI11,40041603000156
NAVT11,35652252000180
APTO11,42432327000182
NEWL11,32527626000147
NEWU11,14793782000178
NVIF11,
FTCE11,
OGHY11,47240631000141
OUJP11,26091656000150
PNDL11,37899400000190
PNLN11,40887170000154
PNPR11,26813118000122
PNRC11,
VTVI11,21500514000186
PQAG11,12978943000172
PATC11,30048651000112
PATL11,35754164000199
PEMA11,34736510000143
PRSN11,14056001000162
GLOG11,36501198000134
PORD11,17156502000109
PLRI11,14080689000116
PCAS11,
PRZS11,30258790000170
PRSV11,11281322000172
PBLV11,31962875000106
QAGR11,32754734000152
QAMI11,32400264000129
XBXO11,36814809000102
RSPD11,19249989000108
RBDS11,11945604000127
RBIR11,31161410000148
RBLG11,35652227000104
RRCI11,35689733000160
FIIP11,08696175000197
RBRD11,09006914000134
RBTS11,29299737000139
RBRF11,27529279000151
CCRF11,40011268000143
RCFF11,35689670000141
RBRL11,35705463000133
RBRX11,41088458000121
RPRI11,42502842000191
RMAI11,17374696000119
RINV11,44.625.612/0001-45 
REON11,
RBHG11,30647758000187
RBHY11,37899479000150
RBVO11,15769670000144
RBFF11,17329029000114
RBOP11,13500306000159
RBRS11,36517660000191
RZAK11,36642219000131
RZAT11,28267696000136
RZDM11,
RCKF11,
SADI11,32903521000145
SARE11,32903702000171
SACL11,41833927000190
FISD11,16543270000189
SEQR11,09517273000182
SRVD11,38082796000141
SHSO11,
WPLZ11,09326861000139
CPSH11,47896665000199
SIGR11,40011324000140
REIT11,16841067000199
SJAU11,27771547000147
SOLR11,22169671000113
SPTW11,15538445000105
SPAF11,18311024000127
STRX11,11044355000107
SNFF11,40011225000168
SNLG11,40041711000129
SNCI11,41076710000182
SPMO11,40.225.262/0001-79 
TELD11,36200701000111
TELM11,
TEPP11,26681370000125
TSER11,34847042000184
TJKB11,39714024000148
TORD11,30230870000118
TSNC11,17007443000107
TCPF11,26990011000150
TRXF11,28548288000152
TRXB11,36368925000137
URPR11,34508872000187
VVCO11,15006267000163 
VGIR11,29852732000191
VGIP11,34197811000146
VGHF11,36771692000119
EVBI11,34691520000100
RVBI11,35507457000171
VCJR11,32400250000105
VCRR11,40041723000153
VLJS11,13842683000176
SALI11,36669535000105
VSLH11,36244015000142
VIDS11,32527552000149
VDSV11,
VCRI11,41081374000166
VIUR11,36445587000190
VIFI11,31547855000160
VILG11,24853044000122
VINO11,12516185000170
VISC11,17554274000125
VOTS11,17870926000130
VXXV11,30982974000189
WSEC11,43440579000116
SPDE11,
WHGR11,41256643000188
XPCM11,16802320000103
XPCI11,28516301000191
XPHT11,18308516000163
XPIN11,28516325000140
XPLG11,26502794000185
XPML11,28757546000100
XPPR11,30654849000140
XPSF11,30983020000190
YUFI11,36445551000106
ZAVI11,40575940000123
SNME11,52227760000130
ZIFI11,35820768000196
TMPS11,42737077000199
VVRI11,49184940000177
TRBL11,16671412000193
